PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
	Oligotylus	maneadero	USA	California	San Diego	Otay Mountain	32.59472	-117.06361	18 May 1978		D. Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	cruralis	USA	California	San Diego	Otay Mountain	32.59472	-117.06361	18 May 1978		D. K. Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	6							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	ceanothi	USA	California	San Diego	Carrista Creek, Morettis Junction	33.20514	-116.71795	13 May 1980		Brown and Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	ceanothi	USA	California	San Diego	McCain Valley	32.67222	-116.23611	03 May 1980		Brown and Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Pseudatomoscelis	seriatus	USA	California	Tulare	Woodlake	36.41361	-119.09778	23 Jun 1936		F. T. Scott	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	pintoi	USA	California	San Diego	Mission Dam and Flume Historic Site	32.84194	-117.03972	16 Mar 1929		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Lamiaceae					California sage	associated with			NO
	Pseudatomoscelis	seriatus	USA	California	San Diego	San Diego County	32.71528	-117.15639	11 Sep 1927		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	23							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Plagiognathus	verticalis	USA	California	Sacramento	Carmichael	38.61722	-121.32722	26 May 1946		Unknown	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	cruralis	USA	California	San Diego	Otay Mountain	32.59472	-117.06361	18 May 1978		D. K. Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	6							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	cruralis	USA	California	San Diego	McCain Valley	32.67222	-116.23611	03 May 1980		Brown and Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Phymata	pacifica	USA	California	San Diego	Japatul	32.79201	-116.68539	08 Jun 1976		Unknown	Adult Female	SDNH	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	A. Michael	2013			Uncertainty: 6451 m; Centrad; Geolocate 2014; The latitude, longitude, and uncertainty are estimates based on the locality given		Unknown	Pinned	1	GeoLocate Software	1000-10000					NO	NO	NO	NO	NO			Reduviidae	Phymatinae	Phymatini												NO
	Europiella	consors	USA	California	San Diego	Morena Dam	32.78083	-117.20694	26 May 1929		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	bicinctus	USA	California	San Diego	Tecate Peak	32.57722	-116.62667	02 Jun 1980		Brown and Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2			575	1885	Unknown		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	pintoi	USA	California	San Diego	Mission Dam and Flume Historic Site	32.84194	-117.03972	16 Mar 1929		C. C. Searl	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	4							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Lamiaceae					California sage	associated with			NO
	Spanagonicus	albofasciatus	USA	California	San Diego	Point Loma	32.70034	-117.24510	03 Oct 1973		Lee Guidry	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None					previous coordinates [36.25778, -119.28639] incorrect - MDS		Unknown	Pinned	1	Google Earth		64	210	Google Earth		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Plagiognathus	verticalis	USA	California	San Diego	Pine Valley	32.83583	-116.53361	13 Jun 1927		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	3			1190	3903	Unknown		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	susansolomonae	USA	California	San Diego	Palomar Mountain, 3 mi up East Grade Road	33.36333	-116.83528	17 May 1979		Brown and Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Chlamydatus	associatus	USA	California	Riverside	Palm Springs	33.83028	-116.54444	30 Apr 1928		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Chlamydatus	associatus	USA	California	Riverside	San Jacinto	33.78389	-116.95778	30 Apr 1928		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Chlamydatus	associatus	USA	California	San Diego	Warner Springs	33.04969	-117.04233	20 May 1928		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_ENT 00076543	Phytocoris	sonorensis	USA	California	San Diego	Pine Valley	32.83583	-116.53361	24 Jul 1938		Unknown	Adult Male	SDNH	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	G. M. Stonedahl	1999		SNDH			Unknown	Pinned	1			1190	3903	Unknown		NO	NO	NO	NO	NO			Miridae	Mirinae	Mirini												NO
AMNH_IZC 00111117	Atomoscelis	onustus	USA	California	San Diego	Jacumba Interstate 8	32.37030	-116.11230	05 Aug 1981		Brown and Faulkner	Adult Male	SDNH	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.T. Schuh	2013	Mineocapsus minimus (H.H. Knight)	On Label: SDNM : leg			Unknown	Pinned	1			861	2825	Unknown		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_PBI 00074387	Cyrtopeltocoris	rubripes # 3	USA	California	Imperial	Black Mountain	33.05480	-114.82833	29 Apr 1978		Brown and Faulkner	Adult Male	SDNH		None							Unknown	Pinned	1	Google Earth		648	2125	Google Earth		NO	NO	NO	NO	NO			Miridae	Phylinae	Hallodapini			Asteraceae	Parthenium	hysterophorus				associated with			NO
AMNH_PBI 00074403	Insulaphylus	meridianus	USA	California	Los Angeles	San Clemente Island, south end of island	32.84718	-118.40969	13 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype					vague locality but moved plot to south end; changed coordinates to S end of island, still vague . . .		Beating Vegetation	Pinned	1	Google Earth		349	1145	Google Earth		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_PBI 00074404	Maculamiris	baja	USA	California	San Diego	Mission Valley	32.76028	-117.21194	09 May 1929		Unknown	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Beating Vegetation	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_PBI 00074408	Maculamiris	insulanus	USA	California	Los Angeles	San Clemente Island, south end of island	32.84718	-118.40969	13 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype					vague locality but moved plot to south end; changed coordinates to S end of island, still vague . . .		Beating Vegetation	Pinned	1	Google Earth		349	1145	Google Earth		YES	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_PBI 00074409	Maculamiris	insulanus	USA	California	Los Angeles	San Clemente Island, canyon 3 mi S of Thirst	32.84848	-118.42470	12 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype					closer approximation of collecting event		Beating Vegetation	Pinned	1	Google Earth		312	1024	Unknown		NO	NO	YES	NO	NO			Miridae	Phylinae	Phylini												NO
AMNH_PBI 00074414	Orthotylus	n. sp. from san clemente is.	USA	California	Los Angeles	San Clemente Island, canyon 3 mi S of Thirst	32.84848	-118.42470	12 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype	M. D. Schwartz	2008	Orthotylus n. sp. from san clemente		closer approximation of collecting event		Unknown	Pinned	1	Google Earth		312	1024	Unknown		NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00074415	Orthotylus	n. sp. from san clemente is.	USA	California	Los Angeles	San Clemente Island, canyon 3 mi S of Thirst	32.84848	-118.42470	13 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype	M. D. Schwartz	2008	Orthotylus n. sp. from san clemente		closer approximation of collecting event		Unknown	Pinned	1	Google Earth		312	1024	Unknown		NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00074416	Orthotylus	n. sp. from san clemente is.	USA	California	Los Angeles	San Clemente Island, canyon 3 mi S of Thirst	32.84848	-118.42470	13 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype	M. D. Schwartz	2008	Orthotylus n. sp. from san clemente		closer approximation of collecting event		Unknown	Pinned	1	Google Earth		312	1024	Unknown		NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00113938	Orthotylus	n. sp. from san clemente is.	USA	California	Los Angeles	San Clemente Island, canyon 3 mi S of Thirst	32.84848	-118.42470	12 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype	M. D. Schwartz	2006	Orthotylus n. sp. from San Clemente Is.		closer approximation of collecting event		Unknown	Pinned	1	Google Earth		312	1024	Unknown		NO	NO	NO	NO	YES			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00113939	Orthotylus	n. sp. from san clemente is.	USA	California	Los Angeles	San Clemente Island, south end of island	32.84718	-118.40969	13 Apr 1980		Faulkner and Powell	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype	M. D. Schwartz	2006	Orthotylus n. sp. from San Clemente Is.		vague locality but moved plot to south end; changed coordinates to S end of island, still vague . . .		Unknown	Pinned	1	Google Earth		349	1145	Google Earth		YES	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00244231	Slaterocoris	solidaginis	USA	California	San Diego	Viejas Creek at the Willows	32.83590	-116.71990	03 Jun 1953		R. R. MacRic	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None	M. D. Schwartz	2007	Slaterocoris solidaginis Kelton		Coordinates and elev from Topozone, The Willows, USGS VIEJAS MOUNTAIN (CA) Topo Map		Unknown	Pinned	1	Map - local/regional		671	2201	Map		NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00244234	Slaterocoris	flavipes	USA	California	San Diego	Carrista Creek, Morettis Junction	33.20514	-116.71795	13 May 1980		Brown and Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None	M. D. Schwartz	2007	Slaterocoris flavipes Kelton				Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00244238	Slaterocoris	robustus	USA	California	San Diego	Warner Springs	33.04969	-117.04233	29 May 1978		Brown and Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None	M. D. Schwartz	2007	Slaterocoris robustus (Uhler)				Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
AMNH_PBI 00244239	Slaterocoris	robustus	USA	California	San Diego	Warner Springs	33.04969	-117.04233	29 May 1978		Brown and Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None	M. D. Schwartz	2007	Slaterocoris robustus (Uhler)				Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Orthotylinae	Orthotylini												NO
